"PID";"Original tittel"
"0DC1BC9C-9573-47AC-AB65-7B25770F2AB1";"Strömstad akademi"
"0DC4B1CA-AEB4-4C19-9F96-9850645D651A";"Klasik Yayinlari"
"0E116313-C5A2-4E01-A7A7-173B15792C62";"Stiftelsen Skolen"
"0E2C0464-B99C-4493-A6F0-DABBFB13D014";"Eksistensen Akademisk"
"0E36C0C3-0C52-45C8-83B8-3332613A003C";"Victoria & Albert Publications"
"0E37986A-B70B-4070-AC5A-A1976DC8A6B5";"Allkopi Forlag"
"0E4C7862-692C-4532-91C9-41EC157BF204";"Vienna University Press (WUV)"
"0E8DB700-ABD8-4517-9815-7159CCD357C2";"Media XXI"
"0E963D75-14A3-4B88-BB53-E06AD2A3EA04";"Editions Dalloz"
"0EACAD5D-3DEE-46EB-BCD4-54005712EF63";"Sagamore Publishing"
"0EAE6E30-7879-42A4-9604-5F4E16320AAA";"University of Keele"
"0EB675DC-906D-4901-8D8E-0C6BE30339D4";"Western Washington State College"
"0EBADFB4-67E7-46AD-8A9B-27D593BF24B0";"Pedlex Norsk Skoleinformasjon"
"0EDC4982-1178-4BFD-A230-C0D4634D557C";"Pickering & Chatto"
"0F2832EB-A524-4C56-BBBA-52912E012EA1";"Söderström Förlag Ab"
"0F2989F4-20FB-4143-96C1-E65466DB74A0";"Hantverkslaboratoriet"
"0F53B190-0345-4457-B306-2D0924CF56B3";"China Alliance Press"
"0F77D7FD-4D24-4790-87DA-AA35B2C8ED21";"Forsvarets høgskole"
"0F8130CA-425F-4859-9D24-E9A11F838870";"Centrum för multietnisk forskning"
"0F8A0587-BABE-41D8-8C99-6DCC80B638D7";"Geological Society"
"0F8EDED2-4963-4DD3-BEDD-F0637D506704";"Academia Press"
"0F9C837F-51F4-4E20-99DF-D2E47A923061";"Cornelsen"
"0FEF3434-1B6C-4337-99BD-F668A10DDBBB";"Romanian Institute for Research on National Minorities"
"1044015C-79C8-49EF-84E6-9D84F0637D76";"Dark Night Press"
