GammelID;NyID;Type
473076;0BD11AF5-5925-43C9-A508-01B1E26B805E;Tidsskrift
484221;4A75D9A1-840A-45E0-9A2F-01B355FF181B;Tidsskrift
449538;CE5C1B23-E663-4786-940C-01B37DE0877C;Tidsskrift
449646;1F7B4702-A196-45D0-AA1B-01B9646CF5C5;Tidsskrift
443287;1F3CC9CC-83E3-4AE2-90A9-01B982CBCEE0;Tidsskrift
451615;DBA22BB9-E55F-4CB6-B8AA-01BC076C6602;Serie
451654;D1636081-7192-45BC-BF1B-01C42FF86822;Tidsskrift
472873;DD783ECB-4A96-4837-891D-01C63ECBA338;Tidsskrift
485046;FBD5099F-87C8-451D-9FF0-01C844DA8325;Tidsskrift
470281;E628ADD2-BBB1-4F81-A956-01C8882241A0;Tidsskrift
490239;0F4E3AF3-94F3-4DF3-867D-01CB8CEF40DF;Tidsskrift
342821;C93FDCD8-684F-4A19-8D65-01CCF97481FA;Tidsskrift
439642;B324E2A3-B0E6-4ED4-8B0C-01CDF75E2546;Tidsskrift
447002;8982AFD7-3478-463D-8C39-01CFF92E1D8D;Tidsskrift
445960;596F793E-5610-4C19-B203-01D0044E015C;Tidsskrift
484183;2D18888B-A1FC-4634-B1BC-01D2F9E1F4C7;Tidsskrift
504890;4FD3B74C-736B-4543-B85F-01D35F1ECF46;Tidsskrift
505404;9FF5517A-6766-49B9-8816-01D3605E6DF6;Tidsskrift
502356;E01997B7-A1C0-4899-8EAE-01D3C8AC8A5D;Tidsskrift
499727;1FB2278C-F2F6-473B-98A1-01D4D5433441;Tidsskrift
502774;5D0310EE-E468-4CB3-9223-01D6725CEB55;Tidsskrift
489510;B4F97BF1-ED25-4472-9E64-01D7C5794EAB;Tidsskrift
473554;CA986129-D631-4820-B5C6-01D85B67C039;Tidsskrift
496597;00DBF3D0-BF7E-40A8-A0E4-01D8D5F1522B;Tidsskrift
506111;A1048967-9BCF-439B-ADDD-01D917377BBE;Tidsskrift
499773;2A67C315-FF5F-45D6-81CB-01DE8F566B85;Tidsskrift
496720;EED21F79-7DF2-437E-93DA-01DEA223F1FA;Tidsskrift
342789;CC9D390F-3D36-4B62-9705-01E0325CFB27;Tidsskrift
